Route_start|Route_end|Reference_time|Interval(days)|Area_size|Max_samples|Duration(s)|Number_of_records
Columbia University, NYC, USA|Grand Central, NYC, USA|2013-12-01 00:00:00|30|0.3|1000|1.73991894722|288
Union Sq, NYC, USA|11 Wall street, NYC, USA|2013-02-15 00:00:00|30|0.3|1000|2.25436091423|1000
Union Sq, NYC, USA|11 Wall street, NYC, USA|2013-04-01 00:00:00|30|0.3|1000|1.5188729763|1000
Union Sq, NYC, USA|11 Wall street, NYC, USA|2013-06-15 00:00:00|30|0.3|1000|2.33285188675|1000
Union Sq, NYC, USA|11 Wall street, NYC, USA|2013-08-01 00:00:00|30|0.3|1000|1.4715988636|1000
Union Sq, NYC, USA|11 Wall street, NYC, USA|2013-10-15 00:00:00|30|0.3|1000|2.31992483139|1000
Union Sq, NYC, USA|11 Wall street, NYC, USA|2013-12-01 00:00:00|30|0.3|1000|2.20343613625|1000
Times Sq, NYC, USA|11 Wall street, NYC, USA|2013-02-15 00:00:00|30|0.3|1000|2.2474360466|1000
Times Sq, NYC, USA|11 Wall street, NYC, USA|2013-04-01 00:00:00|30|0.3|1000|1.52434706688|1000
Times Sq, NYC, USA|11 Wall street, NYC, USA|2013-06-15 00:00:00|30|0.3|1000|2.45875000954|1000
Times Sq, NYC, USA|11 Wall street, NYC, USA|2013-08-01 00:00:00|30|0.3|1000|1.57680082321|1000
Times Sq, NYC, USA|11 Wall street, NYC, USA|2013-10-15 00:00:00|30|0.3|1000|2.36207008362|1000
Times Sq, NYC, USA|11 Wall street, NYC, USA|2013-12-01 00:00:00|30|0.3|1000|2.61961197853|990
Metropolitan Museum, 5th Avenue, New York, NYC, USA|Union Sq, NYC, USA|2013-02-15 00:00:00|30|0.3|1000|1.2942841053|350
Metropolitan Museum, 5th Avenue, New York, NYC, USA|Union Sq, NYC, USA|2013-04-01 00:00:00|30|0.3|1000|0.882817983627|379
Metropolitan Museum, 5th Avenue, New York, NYC, USA|Union Sq, NYC, USA|2013-06-15 00:00:00|30|0.3|1000|1.29377889633|359
Metropolitan Museum, 5th Avenue, New York, NYC, USA|Union Sq, NYC, USA|2013-08-01 00:00:00|30|0.3|1000|0.757333040237|392
Metropolitan Museum, 5th Avenue, New York, NYC, USA|Union Sq, NYC, USA|2013-10-15 00:00:00|30|0.3|1000|1.33687996864|339
Metropolitan Museum, 5th Avenue, New York, NYC, USA|Union Sq, NYC, USA|2013-12-01 00:00:00|30|0.3|1000|1.29176688194|342
Union Sq, NYC, USA|Metropolitan Museum, 5th Avenue, New York, NYC, USA|2013-02-15 00:00:00|30|0.3|1000|2.59901690483|287
Union Sq, NYC, USA|Metropolitan Museum, 5th Avenue, New York, NYC, USA|2013-04-01 00:00:00|30|0.3|1000|1.49124693871|331
Union Sq, NYC, USA|Metropolitan Museum, 5th Avenue, New York, NYC, USA|2013-06-15 00:00:00|30|0.3|1000|2.61968398094|301
Union Sq, NYC, USA|Metropolitan Museum, 5th Avenue, New York, NYC, USA|2013-08-01 00:00:00|30|0.3|1000|1.26824522018|297
Union Sq, NYC, USA|Metropolitan Museum, 5th Avenue, New York, NYC, USA|2013-10-15 00:00:00|30|0.3|1000|2.44120788574|321
Union Sq, NYC, USA|Metropolitan Museum, 5th Avenue, New York, NYC, USA|2013-12-01 00:00:00|30|0.3|1000|2.49620389938|316
Union Sq, NYC, USA|Harlem, New York, NYC, USA|2013-02-15 00:00:00|30|0.3|1000|1.91152191162|43
Union Sq, NYC, USA|Harlem, New York, NYC, USA|2013-04-01 00:00:00|30|0.3|1000|1.14159798622|53
Union Sq, NYC, USA|Harlem, New York, NYC, USA|2013-06-15 00:00:00|30|0.3|1000|1.76808094978|35
Union Sq, NYC, USA|Harlem, New York, NYC, USA|2013-08-01 00:00:00|30|0.3|1000|0.896640062332|31
Union Sq, NYC, USA|Harlem, New York, NYC, USA|2013-10-15 00:00:00|30|0.3|1000|1.88790011406|46
Union Sq, NYC, USA|Harlem, New York, NYC, USA|2013-12-01 00:00:00|30|0.3|1000|1.90176200867|55
Harlem, New York, NYC, USA|Union Sq, NYC, USA|2013-02-15 00:00:00|30|0.3|1000|0.636207103729|9
Harlem, New York, NYC, USA|Union Sq, NYC, USA|2013-04-01 00:00:00|30|0.3|1000|0.38196015358|17
Harlem, New York, NYC, USA|Union Sq, NYC, USA|2013-06-15 00:00:00|30|0.3|1000|0.656704902649|16
Harlem, New York, NYC, USA|Union Sq, NYC, USA|2013-08-01 00:00:00|30|0.3|1000|0.334136962891|15
Harlem, New York, NYC, USA|Union Sq, NYC, USA|2013-10-15 00:00:00|30|0.3|1000|0.659481048584|15
Harlem, New York, NYC, USA|Union Sq, NYC, USA|2013-12-01 00:00:00|30|0.3|1000|0.64973115921|13
Union Sq, NYC, USA|Times Sq, NYC, USA|2013-02-15 00:00:00|30|0.3|5000|4.331335783|2743
Union Sq, NYC, USA|Times Sq, NYC, USA|2013-04-01 00:00:00|30|0.3|5000|3.29519295692|2881
Union Sq, NYC, USA|Times Sq, NYC, USA|2013-06-15 00:00:00|30|0.3|5000|4.23262381554|2532
Union Sq, NYC, USA|Times Sq, NYC, USA|2013-08-01 00:00:00|30|0.3|5000|4.11945104599|2470
Union Sq, NYC, USA|Times Sq, NYC, USA|2013-10-15 00:00:00|30|0.3|5000|4.37802386284|2456
Union Sq, NYC, USA|Times Sq, NYC, USA|2013-12-01 00:00:00|30|0.3|5000|4.28805398941|2370
Times Sq, NYC, USA|Union Sq, NYC, USA|2013-02-15 00:00:00|30|0.3|5000|4.37453508377|2812
Times Sq, NYC, USA|Union Sq, NYC, USA|2013-04-01 00:00:00|30|0.3|5000|3.23335313797|2746
Times Sq, NYC, USA|Union Sq, NYC, USA|2013-06-15 00:00:00|30|0.3|5000|3.97829389572|2415
Times Sq, NYC, USA|Union Sq, NYC, USA|2013-08-01 00:00:00|30|0.3|5000|3.12210798264|2621
Times Sq, NYC, USA|Union Sq, NYC, USA|2013-10-15 00:00:00|30|0.3|5000|4.59701299667|2315
Times Sq, NYC, USA|Union Sq, NYC, USA|2013-12-01 00:00:00|30|0.3|5000|4.05032014847|2339
Grand Central, NYC, USA|Times Sq, NYC, USA|2013-02-15 00:00:00|30|0.3|5000|4.88149094582|5000
Grand Central, NYC, USA|Times Sq, NYC, USA|2013-04-01 00:00:00|30|0.3|5000|4.23766994476|5000
Grand Central, NYC, USA|Times Sq, NYC, USA|2013-06-15 00:00:00|30|0.3|5000|5.36145186424|5000
Grand Central, NYC, USA|Times Sq, NYC, USA|2013-08-01 00:00:00|30|0.3|5000|4.19633102417|5000
Grand Central, NYC, USA|Times Sq, NYC, USA|2013-10-15 00:00:00|30|0.3|5000|6.26620697975|5000
Grand Central, NYC, USA|Times Sq, NYC, USA|2013-12-01 00:00:00|30|0.3|5000|5.35127091408|5000
Grand Central, NYC, USA|Union Sq, NYC, USA|2013-02-15 00:00:00|30|0.3|5000|5.71218204498|4963
Grand Central, NYC, USA|Union Sq, NYC, USA|2013-04-01 00:00:00|30|0.3|5000|4.85632014275|5000
Grand Central, NYC, USA|Union Sq, NYC, USA|2013-06-15 00:00:00|30|0.3|5000|5.64964008331|4537
Grand Central, NYC, USA|Union Sq, NYC, USA|2013-08-01 00:00:00|30|0.3|5000|4.77569007874|4993
Grand Central, NYC, USA|Union Sq, NYC, USA|2013-10-15 00:00:00|30|0.3|5000|5.79124093056|4660
Grand Central, NYC, USA|Union Sq, NYC, USA|2013-12-01 00:00:00|30|0.3|5000|5.58104491234|4684
Union Sq, NYC, USA|Grand Central, NYC, USA|2013-02-15 00:00:00|30|0.3|5000|5.69376683235|5000
Union Sq, NYC, USA|Grand Central, NYC, USA|2013-04-01 00:00:00|30|0.3|5000|4.54493689537|5000
Union Sq, NYC, USA|Grand Central, NYC, USA|2013-06-15 00:00:00|30|0.3|5000|5.62217283249|5000
Union Sq, NYC, USA|Grand Central, NYC, USA|2013-08-01 00:00:00|30|0.3|5000|4.83090901375|5000
Union Sq, NYC, USA|Grand Central, NYC, USA|2013-10-15 00:00:00|30|0.3|5000|5.80424308777|5000
Union Sq, NYC, USA|Grand Central, NYC, USA|2013-12-01 00:00:00|30|0.3|5000|5.86115217209|5000
Times Sq, NYC, USA|Grand Central, NYC, USA|2013-02-15 00:00:00|30|0.3|5000|5.2544670105|5000
Times Sq, NYC, USA|Grand Central, NYC, USA|2013-04-01 00:00:00|30|0.3|5000|4.63205718994|5000
Times Sq, NYC, USA|Grand Central, NYC, USA|2013-06-15 00:00:00|30|0.3|5000|6.10554504395|5000
Times Sq, NYC, USA|Grand Central, NYC, USA|2013-08-01 00:00:00|30|0.3|5000|4.55005788803|5000
Times Sq, NYC, USA|Grand Central, NYC, USA|2013-10-15 00:00:00|30|0.3|5000|5.9167470932|5000
Times Sq, NYC, USA|Grand Central, NYC, USA|2013-12-01 00:00:00|30|0.3|5000|6.04269504547|5000
Grand Central, NYC, USA|Columbia University, NYC, USA|2013-02-15 00:00:00|30|0.3|5000|2.14664411545|279
